 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:13:48.44
 Epoch      1/   200; Mu= 1.E-01; Perform= 1.968E+01 1.337E+02 / 1.864E+01 1.328E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-01; Perform= 1.945E+01 1.295E+02 / 1.835E+01 1.287E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.942E+01 1.277E+02 / 1.835E+01 1.317E+02 meV; Val= 1/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 1.843E+01 1.202E+02 / 1.736E+01 1.190E+02 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 1.751E+01 1.084E+02 / 1.672E+01 1.077E+02 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E+00; Perform= 1.581E+01 9.347E+01 / 1.479E+01 9.428E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E+00; Perform= 1.454E+01 8.389E+01 / 1.376E+01 7.839E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E+01; Perform= 1.398E+01 7.848E+01 / 1.301E+01 7.550E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E+00; Perform= 1.295E+01 7.423E+01 / 1.233E+01 6.975E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E+00; Perform= 1.218E+01 6.798E+01 / 1.149E+01 6.474E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E+00; Perform= 1.168E+01 6.714E+01 / 1.191E+01 6.357E+01 meV; Val= 1/15
 Epoch     12/   200; Mu= 1.E+00; Perform= 1.125E+01 6.376E+01 / 1.075E+01 6.144E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 1.123E+01 6.692E+01 / 1.132E+01 6.984E+01 meV; Val= 1/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 1.065E+01 6.243E+01 / 1.010E+01 5.881E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 9.534E+00 5.464E+01 / 9.819E+00 5.738E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 8.990E+00 5.111E+01 / 9.179E+00 5.285E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 8.411E+00 4.646E+01 / 8.952E+00 5.170E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 8.113E+00 4.402E+01 / 8.618E+00 4.929E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 7.848E+00 4.188E+01 / 8.518E+00 4.876E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 7.674E+00 4.044E+01 / 8.404E+00 4.786E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 7.541E+00 3.939E+01 / 8.337E+00 4.774E+01 meV; Val= 0/15
 Epoch     22/   200; Mu= 1.E-01; Perform= 7.427E+00 3.852E+01 / 8.311E+00 4.801E+01 meV; Val= 0/15
 Epoch     23/   200; Mu= 1.E-01; Perform= 7.328E+00 3.779E+01 / 8.279E+00 4.824E+01 meV; Val= 0/15
 Epoch     24/   200; Mu= 1.E-01; Perform= 7.237E+00 3.715E+01 / 8.245E+00 4.857E+01 meV; Val= 0/15
 Epoch     25/   200; Mu= 1.E-01; Perform= 7.153E+00 3.654E+01 / 8.209E+00 4.879E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-01; Perform= 7.074E+00 3.595E+01 / 8.179E+00 4.898E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-01; Perform= 7.003E+00 3.541E+01 / 8.153E+00 4.919E+01 meV; Val= 0/15
 Epoch     28/   200; Mu= 1.E-01; Perform= 6.938E+00 3.490E+01 / 8.132E+00 4.948E+01 meV; Val= 0/15
