 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:16:20.09
 Epoch      1/   200; Mu= 1.E-02; Perform= 2.125E+01 1.503E+02 / 1.786E+01 1.328E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.997E+01 1.373E+02 / 1.663E+01 1.156E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.824E+01 1.216E+02 / 1.462E+01 1.037E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 1.677E+01 1.044E+02 / 1.365E+01 9.618E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 1.487E+01 8.860E+01 / 1.248E+01 8.412E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 1.409E+01 8.440E+01 / 1.197E+01 8.032E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 1.230E+01 6.891E+01 / 1.071E+01 7.062E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 1.153E+01 6.673E+01 / 1.022E+01 6.488E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 1.033E+01 5.698E+01 / 9.841E+00 6.014E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 9.949E+00 5.355E+01 / 9.605E+00 5.537E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 9.494E+00 5.136E+01 / 9.694E+00 5.436E+01 meV; Val= 1/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 9.276E+00 5.009E+01 / 9.728E+00 5.288E+01 meV; Val= 2/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 8.687E+00 4.652E+01 / 9.513E+00 5.079E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 8.354E+00 4.468E+01 / 9.470E+00 4.939E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 8.105E+00 4.353E+01 / 9.346E+00 4.931E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 7.944E+00 4.243E+01 / 9.283E+00 4.871E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 7.806E+00 4.166E+01 / 9.222E+00 4.811E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 7.674E+00 4.074E+01 / 9.101E+00 4.783E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 7.564E+00 4.009E+01 / 9.069E+00 4.737E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 7.472E+00 3.939E+01 / 9.001E+00 4.731E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 7.393E+00 3.880E+01 / 8.983E+00 4.716E+01 meV; Val= 0/15
 Epoch     22/   200; Mu= 1.E-01; Perform= 7.324E+00 3.825E+01 / 8.961E+00 4.712E+01 meV; Val= 0/15
 Epoch     23/   200; Mu= 1.E-01; Perform= 7.261E+00 3.775E+01 / 8.951E+00 4.709E+01 meV; Val= 0/15
 Epoch     24/   200; Mu= 1.E-01; Perform= 7.204E+00 3.730E+01 / 8.938E+00 4.706E+01 meV; Val= 0/15
 Epoch     25/   200; Mu= 1.E-01; Perform= 7.151E+00 3.688E+01 / 8.919E+00 4.701E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-01; Perform= 7.100E+00 3.649E+01 / 8.894E+00 4.692E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-01; Perform= 7.052E+00 3.613E+01 / 8.863E+00 4.678E+01 meV; Val= 0/15
 Epoch     28/   200; Mu= 1.E-01; Perform= 7.007E+00 3.578E+01 / 8.828E+00 4.662E+01 meV; Val= 0/15
 Epoch     29/   200; Mu= 1.E-01; Perform= 6.964E+00 3.545E+01 / 8.793E+00 4.645E+01 meV; Val= 0/15
 Epoch     30/   200; Mu= 1.E-01; Perform= 6.923E+00 3.512E+01 / 8.759E+00 4.626E+01 meV; Val= 0/15
 Epoch     31/   200; Mu= 1.E-02; Perform= 6.919E+00 3.615E+01 / 8.611E+00 4.766E+01 meV; Val= 0/15
 Epoch     32/   200; Mu= 1.E-02; Perform= 6.718E+00 3.388E+01 / 8.517E+00 4.537E+01 meV; Val= 0/15
 Epoch     33/   200; Mu= 1.E-02; Perform= 6.501E+00 3.196E+01 / 8.361E+00 4.343E+01 meV; Val= 0/15
 Epoch     34/   200; Mu= 1.E-02; Perform= 6.372E+00 3.062E+01 / 8.335E+00 4.360E+01 meV; Val= 0/15
 Epoch     35/   200; Mu= 1.E-02; Perform= 6.261E+00 2.977E+01 / 8.288E+00 4.290E+01 meV; Val= 0/15
 Epoch     36/   200; Mu= 1.E-02; Perform= 6.173E+00 2.908E+01 / 8.315E+00 4.230E+01 meV; Val= 1/15
 Epoch     37/   200; Mu= 1.E-02; Perform= 6.101E+00 2.855E+01 / 8.332E+00 4.148E+01 meV; Val= 2/15
