 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:25:37.63
 Epoch      1/   200; Mu= 1.E-02; Perform= 1.468E+01 8.767E+01 / 1.498E+01 9.928E+01 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.365E+01 8.302E+01 / 1.357E+01 8.653E+01 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 9.931E+00 6.099E+01 / 1.027E+01 6.669E+01 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 8.312E+00 4.910E+01 / 8.337E+00 5.123E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 6.114E+00 3.026E+01 / 5.853E+00 3.000E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 5.627E+00 2.649E+01 / 5.361E+00 2.797E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 5.349E+00 2.346E+01 / 5.126E+00 2.578E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 5.213E+00 2.220E+01 / 4.957E+00 2.451E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 5.137E+00 2.158E+01 / 4.878E+00 2.389E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 5.080E+00 2.105E+01 / 4.815E+00 2.342E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 5.028E+00 2.060E+01 / 4.764E+00 2.286E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 4.985E+00 2.027E+01 / 4.718E+00 2.232E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 4.948E+00 1.999E+01 / 4.679E+00 2.180E+01 meV; Val= 0/15
