 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:29:06.88
 Epoch      1/   200; Mu= 1.E-02; Perform= 1.600E+01 9.439E+01 / 1.470E+01 8.525E+01 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-01; Perform= 1.178E+01 6.332E+01 / 1.084E+01 5.903E+01 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 8.307E+00 4.099E+01 / 7.314E+00 3.939E+01 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 6.368E+00 3.291E+01 / 6.047E+00 3.700E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 6.149E+00 2.961E+01 / 5.808E+00 3.240E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 5.376E+00 2.370E+01 / 5.198E+00 2.998E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 5.192E+00 2.226E+01 / 5.015E+00 2.787E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 5.093E+00 2.129E+01 / 4.946E+00 2.722E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 5.020E+00 2.063E+01 / 4.896E+00 2.636E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 4.962E+00 2.016E+01 / 4.837E+00 2.515E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 4.909E+00 1.981E+01 / 4.802E+00 2.405E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 4.864E+00 1.956E+01 / 4.761E+00 2.321E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 4.818E+00 1.936E+01 / 4.749E+00 2.259E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.776E+00 1.914E+01 / 4.731E+00 2.236E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 4.735E+00 1.895E+01 / 4.725E+00 2.206E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 4.700E+00 1.875E+01 / 4.723E+00 2.194E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 4.671E+00 1.859E+01 / 4.724E+00 2.165E+01 meV; Val= 1/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 4.645E+00 1.844E+01 / 4.738E+00 2.148E+01 meV; Val= 2/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 4.622E+00 1.829E+01 / 4.752E+00 2.133E+01 meV; Val= 3/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 4.601E+00 1.816E+01 / 4.766E+00 2.122E+01 meV; Val= 4/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 4.582E+00 1.805E+01 / 4.780E+00 2.111E+01 meV; Val= 5/15
 Epoch     22/   200; Mu= 1.E-01; Perform= 4.564E+00 1.793E+01 / 4.794E+00 2.099E+01 meV; Val= 6/15
 Epoch     23/   200; Mu= 1.E-01; Perform= 4.546E+00 1.783E+01 / 4.810E+00 2.088E+01 meV; Val= 7/15
 Epoch     24/   200; Mu= 1.E-01; Perform= 4.530E+00 1.772E+01 / 4.830E+00 2.077E+01 meV; Val= 8/15
 Epoch     25/   200; Mu= 1.E-01; Perform= 4.514E+00 1.763E+01 / 4.857E+00 2.069E+01 meV; Val= 9/15
 Epoch     26/   200; Mu= 1.E-01; Perform= 4.499E+00 1.753E+01 / 4.893E+00 2.062E+01 meV; Val=10/15
 Epoch     27/   200; Mu= 1.E-01; Perform= 4.483E+00 1.745E+01 / 4.944E+00 2.058E+01 meV; Val=11/15
