 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7736  | 7736
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6963
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7736
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/20  12:02:06.34
 Epoch      1/   200; Mu= 1.E-02; Perform= 2.051E+01 1.438E+02 / 2.045E+01 1.453E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 2.024E+01 1.364E+02 / 2.007E+01 1.353E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-02; Perform= 2.009E+01 1.388E+02 / 2.026E+01 1.334E+02 meV; Val= 1/15
 Epoch      4/   200; Mu= 1.E-02; Perform= 1.875E+01 1.241E+02 / 1.898E+01 1.233E+02 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-02; Perform= 1.828E+01 1.212E+02 / 1.799E+01 1.213E+02 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-02; Perform= 1.713E+01 1.144E+02 / 1.721E+01 1.171E+02 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-02; Perform= 1.587E+01 1.052E+02 / 1.694E+01 1.047E+02 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-02; Perform= 1.550E+01 9.826E+01 / 1.635E+01 1.077E+02 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-02; Perform= 1.431E+01 8.637E+01 / 1.529E+01 9.825E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 1.335E+01 7.747E+01 / 1.398E+01 8.896E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 1.153E+01 6.572E+01 / 1.281E+01 7.502E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 1.069E+01 6.074E+01 / 1.210E+01 7.269E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 1.006E+01 5.873E+01 / 1.109E+01 6.843E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 9.203E+00 5.205E+01 / 1.016E+01 6.312E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 8.677E+00 4.837E+01 / 9.594E+00 5.992E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-02; Perform= 8.595E+00 4.789E+01 / 9.218E+00 5.544E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 8.125E+00 4.410E+01 / 8.875E+00 5.337E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-02; Perform= 7.838E+00 4.224E+01 / 8.839E+00 4.984E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 7.774E+00 4.185E+01 / 8.721E+00 5.013E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-02; Perform= 7.471E+00 3.973E+01 / 8.651E+00 4.786E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-02; Perform= 7.461E+00 3.925E+01 / 8.689E+00 5.032E+01 meV; Val= 1/15
 Epoch     22/   200; Mu= 1.E-02; Perform= 7.101E+00 3.639E+01 / 8.521E+00 4.861E+01 meV; Val= 0/15
 Epoch     23/   200; Mu= 1.E-02; Perform= 6.990E+00 3.502E+01 / 8.546E+00 4.699E+01 meV; Val= 1/15
 Epoch     24/   200; Mu= 1.E-02; Perform= 6.783E+00 3.467E+01 / 8.357E+00 4.610E+01 meV; Val= 0/15
 Epoch     25/   200; Mu= 1.E-02; Perform= 6.653E+00 3.220E+01 / 8.347E+00 4.498E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-02; Perform= 6.461E+00 3.163E+01 / 8.115E+00 4.282E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-02; Perform= 6.406E+00 3.067E+01 / 8.160E+00 4.377E+01 meV; Val= 1/15
 Epoch     28/   200; Mu= 1.E-02; Perform= 6.307E+00 3.034E+01 / 8.034E+00 4.232E+01 meV; Val= 0/15
 Epoch     29/   200; Mu= 1.E-02; Perform= 6.260E+00 2.961E+01 / 8.062E+00 4.312E+01 meV; Val= 1/15
