 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:14:21.99
 Epoch      1/   200; Mu= 1.E-01; Perform= 2.003E+01 1.371E+02 / 2.031E+01 1.401E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.980E+01 1.390E+02 / 1.986E+01 1.423E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.740E+01 1.147E+02 / 1.797E+01 1.248E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 1.664E+01 1.023E+02 / 1.742E+01 1.130E+02 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 1.645E+01 1.037E+02 / 1.704E+01 1.107E+02 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 1.586E+01 9.516E+01 / 1.542E+01 8.938E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 1.554E+01 8.935E+01 / 1.558E+01 8.832E+01 meV; Val= 1/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 1.518E+01 8.717E+01 / 1.623E+01 9.419E+01 meV; Val= 2/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 1.473E+01 8.518E+01 / 1.525E+01 8.701E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E+00; Perform= 1.264E+01 6.621E+01 / 1.292E+01 7.119E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E+00; Perform= 1.146E+01 6.115E+01 / 1.215E+01 6.646E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E+00; Perform= 1.071E+01 5.654E+01 / 1.128E+01 6.283E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 1.042E+01 5.613E+01 / 1.164E+01 6.561E+01 meV; Val= 1/15
